"tabla","id","id_externo","nombre","longitud","latitud","cero_ign","altitud","provincia","pais","rio","automatica","propietario","abreviatura","url","localidad","real","nivel_alerta","nivel_evacuacion","nivel_aguas_bajas","tipo","has_obs","habilitar"
"ctp",7984,"Aguaraycito","Aguaraycito",-63.412,-21.39,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",7985,"Ajtara","Ajtara",-65.961,-19.069,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",7986,"Alcantari Aeropuerto","Alcantari Aeropuerto",-65.148,-19.239,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",7987,"Alto de Cajas","Alto de Cajas",-64.47,-21.306,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",7988,"Arpaja Alta (Incahuasi)","Arpaja Alta (Incahuasi)",-64.949,-20.675,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",7989,"Atocha","Atocha",-66.243,-20.936,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",7990,"Azurduy","Azurduy",-64.424,-20.105,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",7991,"Berety","Berety",-64.038,-21.445,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",7992,"Cachimayu","Cachimayu",-65.293,-19.147,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",7993,"Caiza-D","Caiza-D",-65,-20,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",7994,"Campanario","Campanario",-64.976,-21.512,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",7995,"Canal El Molino","Canal El Molino",-64.999,-21.539,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",7996,"Carrizal","Carrizal",-65.24,-21.439,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",7997,"Casin","Casin",-65.217,-19.367,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",7998,"Chaqui","Chaqui",-65.567,-19.583,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",7999,"Chaquilla","Chaquilla",-66.144,-19.857,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8000,"Chilcara","Chilcara",-65.052,-21.007,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8001,"Chinoli","Chinoli",-65.383,-19.667,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8002,"Chuquiago","Chuquiago",-65.648,-21.562,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8003,"Colavi - Canutillos","Colavi - Canutillos",-65.538,-19.317,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8004,"Cotagaita","Cotagaita",-65.645,-20.82,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8005,"Crevaux","Crevaux",-62.917,-21.825,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8006,"Culpina","Culpina",-64.943,-20.827,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8007,"El Huayco","El Huayco",-64.254,-21.293,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8008,"El Puente","El Puente",-65.209,-21.24,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8009,"El Reloj","El Reloj",-65.243,-19.038,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8010,"Icla","Icla",-64.789,-19.366,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8011,"Incahuasi automatica","Incahuasi automatica",-64.9,-20.8,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8012,"Killpani","Killpani",-66.343,-19.775,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8013,"La Barranca","La Barranca",-65.3,-19.092,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8014,"La Mendoza","La Mendoza",-64.957,-19.352,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8015,"La Punilla","La Punilla",-65.304,-18.983,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8016,"La Quiaca","La Quiaca",-65.6,-22.117,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8017,"La Torre","La Torre",-65.298,-21.199,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8018,"Lago Toro","Lago Toro",-66.43,-19.688,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8019,"Las Carreras","Las Carreras",-65.209,-21.209,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8020,"León Cancha","León Cancha",-64.714,-21.175,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8021,"Machareti","Machareti",-63.366,-20.812,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8022,"Machigüa","Machigüa",-64.118,-21.03,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8023,"Mision La Paz - SNHI","Mision La Paz - SNHI",-62.523,-22.377,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8024,"Molino Pampa","Molino Pampa",-65.338,-20.07,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8025,"Mosojllasta","Mosojllasta",-65.647,-20.822,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8026,"Muyuquiri","Muyuquiri",-65.148,-20.498,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8027,"Ñacamiri","Ñacamiri",-64.012,-20.642,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8028,"Ñucchu","Ñucchu",-65.284,-19.205,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8029,"Oploca","Oploca",-65.803,-21.334,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8030,"Padcoyo","Padcoyo",-65.156,-20.234,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8031,"Paicho Centro","Paicho Centro",-64.957,-21.144,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8032,"Palca Grande","Palca Grande",-65.239,-20.739,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8033,"Palca Higueras","Palca Higueras",-65.433,-20.683,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8034,"Palmar Grande","Palmar Grande",-63.442,-21.532,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8035,"Palo Marcado","Palo Marcado",-63.108,-21.455,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8036,"Palos Blancos","Palos Blancos",-63.782,-21.415,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8037,"Pirhuani","Pirhuani",-64.647,-20.168,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8038,"Potolo","Potolo",-65.517,-19.02,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8039,"Potosi - Aero","Potosi - Aero",-65.756,-19.588,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8040,"Potosi - Ciudad","Potosi - Ciudad",-65.752,-19.587,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8041,"Puente Aruma","Puente Aruma",-64.11,-20.914,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8042,"Puente Sucre","Puente Sucre",-65.177,-19.354,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8043,"Puente Talula","Puente Talula",-65.45,-19.131,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8044,"Puerto Margarita","Puerto Margarita",-63.762,-21.191,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8045,"Puna","Puna",-65.512,-19.793,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8046,"Quebrada de Cajas","Quebrada de Cajas",-64.403,-21.161,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8047,"Quila Quila","Quila Quila",-65.374,-19.113,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8048,"Ramadas","Ramadas",-65.633,-21.083,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8049,"Ravelo","Ravelo",-65.507,-18.797,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8050,"Rosario del Ingre","Rosario del Ingre",-63.889,-20.584,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8051,"Sachapera","Sachapera",-63.55,-21.66,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8052,"Saladito Centro","Saladito Centro",-64.123,-21.319,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8053,"Samasa","Samasa",-65.664,-19.484,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8054,"San Antonio de Esmoruco","San Antonio de Esmoruco",-66.519,-21.952,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8055,"San Jose de Pampa Grande","San Jose de Pampa Grande",-65.816,-21.684,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8056,"San Josecito","San Josecito",-64.234,-21.152,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8057,"San Lucas","San Lucas",-65.138,-20.097,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8058,"San Luis de Palqui","San Luis de Palqui",-65.135,-21.558,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8059,"San Pablo de Lipez","San Pablo de Lipez",-66.879,-21.87,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8060,"San Roque","San Roque",-65.228,-20.773,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8061,"Santa Elena","Santa Elena",-64.774,-20.581,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8062,"Sucre Aero","Sucre Aero",-65.289,-19.007,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8063,"Sucre Ciudad","Sucre Ciudad",-65.269,-19.02,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8064,"Tacobamba","Tacobamba",-65.55,-19.2,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8065,"Talina","Talina",-65.826,-21.75,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8066,"Talula - Automatica","Talula - Automatica",-65.445,-19.135,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8067,"Tarabuco","Tarabuco",-64.917,-19.179,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8068,"Tarapaya","Tarapaya",-65.794,-19.472,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8069,"Tarupayo","Tarupayo",-63.955,-21.329,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8070,"Tica Tica","Tica Tica",-66.314,-20.141,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8071,"Tiguipa","Tiguipa",-63.327,-21.001,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8072,"Timboy","Timboy",-64.066,-21.174,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8073,"Tinguipaya","Tinguipaya",-65.822,-19.224,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8074,"Tojo","Tojo",-65.326,-21.819,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8075,"Tumusla","Tumusla",-65.618,-20.488,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8076,"Tupiza","Tupiza",-65.715,-21.438,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8077,"Turuchipa","Turuchipa",-64.944,-19.819,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8078,"Villa Abecia","Villa Abecia",-65.231,-20.967,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8079,"Villa Montes","Villa Montes",-63.503,-21.261,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8080,"Villamontes Aero","Villamontes Aero",-63.408,-21.254,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8081,"Villazon","Villazon",-65.602,-22.087,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8082,"Viña Quemada","Viña Quemada",-64.863,-19.403,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8083,"Vitichi","Vitichi",-65.499,-20.205,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8084,"Yamparaez","Yamparaez",-65.114,-19.188,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8085,"Yocalla","Yocalla",-65.908,-19.398,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8086,"Yotala","Yotala",-65.266,-19.162,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8087,"Yunchara","Yunchara",-65.229,-21.826,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8088,"Yuticancha","Yuticancha",-65.065,-21.916,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8089,"Zurita","Zurita",-65.239,-21.754,null,null,null,null,null,null,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"P",null,true
"ctp",8175,"Misión La Paz DE CTN - Automática","Misión La Paz DE CTN - Automática",-62.523,-22.377,null,null,null,null,null,false,"Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo",null,null,null,true,null,null,null,"A",null,true