Aguaraycito,7984,42463,2006-01-03 09:00:00,2025-03-28 09:00:00,4240,0,265
Ajtara,7985,42464,2006-01-01 09:00:00,2025-05-23 09:00:00,4649,0,38.5
Alcantari Aeropuerto,7986,42465,2006-01-01 09:00:00,2025-05-05 09:00:00,5114,0,50.3
Alto de Cajas,7987,42466,2006-01-01 09:00:00,2025-05-23 09:00:00,5310,0,56.5
Arpaja Alta (Incahuasi),7988,42467,2006-01-01 09:00:00,2025-03-21 09:00:00,3548,0,61.565
Atocha,7989,42468,2006-01-01 09:00:00,2025-05-09 09:00:00,2638,0,50.5
Azurduy,7990,42469,2006-01-01 09:00:00,2024-12-29 09:00:00,3945,0,70
Berety,7991,42470,2006-01-01 09:00:00,2024-12-30 09:00:00,4079,0,79
Cachimayu,7992,42471,2006-01-01 09:00:00,2025-05-05 09:00:00,5123,0,110.1
Caiza-D,7993,42472,2006-01-01 09:00:00,2024-12-31 09:00:00,3263,0,61
Campanario,7994,42473,2006-01-01 09:00:00,2025-05-23 09:00:00,4284,0,67.1
Canal El Molino,7995,42474,,,0,,
Carrizal,7996,42475,2006-01-01 09:00:00,2025-05-23 09:00:00,3929,0,47
Casin,7997,42476,2006-01-01 09:00:00,2025-05-05 09:00:00,5242,0,75.5
Chaqui,7998,42477,2006-01-01 09:00:00,2025-05-23 09:00:00,4748,0,90.5
Chaquilla,7999,42478,2006-01-01 09:00:00,2020-03-31 09:00:00,2345,0,37
Chilcara,8000,42479,2006-01-01 09:00:00,2025-05-09 09:00:00,3642,0,23.3
Chinoli,8001,42480,2006-01-01 09:00:00,2025-05-23 09:00:00,4709,0,42.1
Chuquiago,8002,42481,2006-01-01 09:00:00,2025-05-23 09:00:00,3277,0,58
Colavi - Canutillos,8003,42482,2006-01-01 09:00:00,2025-05-23 09:00:00,5345,0,62.2
Cotagaita,8004,42483,2006-01-01 09:00:00,2025-05-22 09:00:00,3287,0,53
Crevaux,8005,42484,2006-01-03 09:00:00,2021-01-30 09:00:00,1973,0,129.5
Culpina,8006,42485,2006-01-01 09:00:00,2025-03-21 09:00:00,3666,0,60.5
El Huayco,8007,42486,2006-01-01 09:00:00,2025-05-20 09:00:00,5102,0,153.3
El Puente,8008,42487,2006-01-01 09:00:00,2025-05-09 09:00:00,3649,0,66.2
El Reloj,8009,42488,2006-01-01 09:00:00,2025-05-05 09:00:00,5123,0,68.4
Icla,8010,42489,2006-01-01 09:00:00,2025-03-23 09:00:00,3982,0,65.3
Incahuasi automatica,8011,42490,2006-01-01 09:00:00,2025-03-21 09:00:00,3666,0,44.892
Killpani,8012,42491,2006-01-01 09:00:00,2020-03-31 09:00:00,2345,0,50.2
La Barranca,8013,42492,2006-01-01 09:00:00,2025-05-05 09:00:00,5123,0,84.5
La Mendoza,8014,42493,2006-01-01 09:00:00,2025-05-05 09:00:00,4479,0,49.6
La Punilla,8015,42494,2006-01-01 09:00:00,2025-05-05 09:00:00,5086,0,49.5
La Quiaca,8016,42495,2006-01-01 09:00:00,2025-02-27 09:00:00,3234,0,48
La Torre,8017,42496,2006-01-01 09:00:00,2025-05-09 09:00:00,3649,0,65
Lago Toro,8018,42497,2006-01-01 09:00:00,2020-03-31 09:00:00,2126,0,40.2
Las Carreras,8019,42498,2006-01-01 09:00:00,2025-05-09 09:00:00,3649,0,34.418
León Cancha,8020,42499,2006-01-01 09:00:00,2025-05-23 09:00:00,5094,0,43.4
Machareti,8021,42500,2006-01-03 09:00:00,2025-03-28 09:00:00,3255,0,152.3
Machigüa,8022,42501,2006-01-01 09:00:00,2025-05-20 09:00:00,5103,0,180.4
Mision La Paz - SNHI,8023,42502,,,0,,
Molino Pampa,8024,42503,2006-01-01 09:00:00,2025-02-18 09:00:00,3735,0,40.6
Mosojllasta,8025,42504,2006-01-01 09:00:00,2025-05-22 09:00:00,3287,0,37
Muyuquiri,8026,42505,2006-01-01 09:00:00,2025-05-22 09:00:00,4072,0,100
Ñacamiri,8027,42506,2006-01-01 09:00:00,2025-03-26 09:00:00,4496,0,116
Ñucchu,8028,42507,2006-01-01 09:00:00,2025-05-05 09:00:00,5096,0,66
Oploca,8029,42508,2006-01-01 09:00:00,2025-05-23 09:00:00,3111,0,52.5
Padcoyo,8030,42509,2006-01-01 09:00:00,2025-05-09 09:00:00,3646,0,66.2
Paicho Centro,8031,42510,2006-01-01 09:00:00,2025-05-09 09:00:00,3811,0,52
Palca Grande,8032,42511,2006-01-01 09:00:00,2025-05-22 09:00:00,3659,0,65
Palca Higueras,8033,42512,2006-01-01 09:00:00,2025-05-22 09:00:00,3472,0,45.3
Palmar Grande,8034,42513,2006-01-03 09:00:00,2025-03-28 09:00:00,4199,0,213.5
Palo Marcado,8035,42514,2006-01-03 09:00:00,2025-03-28 09:00:00,3757,0,351
Palos Blancos,8036,42515,2006-01-02 09:00:00,2025-03-28 09:00:00,4746,0,100.1
Pirhuani,8037,42516,2006-01-01 09:00:00,2024-09-22 09:00:00,2465,0,72.07
Potolo,8038,42517,2006-01-01 09:00:00,2025-05-05 09:00:00,5146,0,64
Potosi - Aero,8039,42518,,,0,,
Potosi - Ciudad,8040,42519,2006-01-01 09:00:00,2025-05-23 09:00:00,4662,0,46.3
Puente Aruma,8041,42520,2006-01-01 09:00:00,2025-05-20 09:00:00,5069,0,140
Puente Sucre,8042,42521,2006-01-01 09:00:00,2025-05-05 09:00:00,4981,0,61.1
Puente Talula,8043,42522,2006-01-01 09:00:00,2025-05-05 09:00:00,5154,0,41.8
Puerto Margarita,8044,42523,2006-01-01 09:00:00,2025-05-20 09:00:00,4918,0,110.2
Puna,8045,42524,2006-01-01 09:00:00,2025-05-23 09:00:00,4369,0,86.4
Quebrada de Cajas,8046,42525,2006-01-01 09:00:00,2025-05-20 09:00:00,5075,0,71
Quila Quila,8047,42526,2006-01-01 09:00:00,2025-05-05 09:00:00,5161,0,40.184
Ramadas,8048,42527,2006-01-01 09:00:00,2025-05-23 09:00:00,3566,0,60
Ravelo,8049,42528,2006-01-01 09:00:00,2025-05-05 09:00:00,4767,0,94.5
Rosario del Ingre,8050,42529,2006-01-01 09:00:00,2025-03-26 09:00:00,4418,0,120
Sachapera,8051,42530,2006-01-06 09:00:00,2025-03-28 09:00:00,4391,0,250
Saladito Centro,8052,42531,2006-01-01 09:00:00,2025-05-20 09:00:00,5183,0,120.7
Samasa,8053,42532,2006-01-01 09:00:00,2025-05-23 09:00:00,4843,0,30.2
San Antonio de Esmoruco,8054,42533,2006-01-02 09:00:00,2024-12-22 09:00:00,2319,0,20.2
San Jose de Pampa Grande,8055,42534,2006-01-01 09:00:00,2025-05-23 09:00:00,3335,0,57.5
San Josecito,8056,42535,2006-01-01 09:00:00,2025-05-20 09:00:00,5125,0,168
San Lucas,8057,42536,2006-01-01 09:00:00,2024-12-31 09:00:00,3402,0,47
San Luis de Palqui,8058,42537,2006-01-01 09:00:00,2025-05-23 09:00:00,4251,0,44.2
San Pablo de Lipez,8059,42538,2006-01-02 09:00:00,2024-12-22 09:00:00,2319,0,24
San Roque,8060,42539,2006-01-01 09:00:00,2025-05-09 09:00:00,3659,0,41.48
Santa Elena,8061,42540,2006-01-01 09:00:00,2025-01-12 09:00:00,3271,0,105.7
Sucre Aero,8062,42541,2006-01-01 09:00:00,2025-05-05 09:00:00,5086,0,81.5
Sucre Ciudad,8063,42542,2006-01-01 09:00:00,2025-05-05 09:00:00,5123,0,68.4
Tacobamba,8064,42543,2006-01-01 09:00:00,2025-05-23 09:00:00,5421,0,47.3
Talina,8065,42544,2006-01-01 09:00:00,2025-05-23 09:00:00,3592,0,51
Talula - Automatica,8066,42545,2006-01-01 09:00:00,2025-05-05 09:00:00,5154,0,86
Tarabuco,8067,42546,2006-01-01 09:00:00,2025-05-05 09:00:00,4586,0,56.8
Tarapaya,8068,42547,2006-01-01 09:00:00,2025-05-23 09:00:00,4739,0,56.1
Tarupayo,8069,42548,2006-01-01 09:00:00,2025-05-20 09:00:00,5205,0,140
Tica Tica,8070,42549,2006-01-01 09:00:00,2020-03-21 09:00:00,2213,0,35
Tiguipa,8071,42550,2006-01-03 09:00:00,2025-03-28 09:00:00,3804,0,172
Timboy,8072,42551,2006-01-01 09:00:00,2025-05-20 09:00:00,5183,0,130.9
Tinguipaya,8073,42552,2006-01-01 09:00:00,2025-05-23 09:00:00,5115,0,51
Tojo,8074,42553,2006-01-01 09:00:00,2025-05-08 09:00:00,3762,0,35.7
Tumusla,8075,42554,2006-01-01 09:00:00,2025-05-22 09:00:00,3358,0,63.4
Tupiza,8076,42555,2006-01-01 09:00:00,2025-05-23 09:00:00,3159,0,54.8
Turuchipa,8077,42556,2006-01-01 09:00:00,2025-02-18 09:00:00,3764,0,88.5
Villa Abecia,8078,42557,2006-01-01 09:00:00,2025-05-09 09:00:00,3812,0,59.5
Villa Montes,8079,42558,,,0,,
Villamontes Aero,8080,42559,2006-01-03 09:00:00,2025-03-28 09:00:00,4280,0,177.1
Villazon,8081,42560,2006-01-01 09:00:00,2025-02-27 09:00:00,3386,0,64
Viña Quemada,8082,42561,2006-01-01 09:00:00,2025-03-23 09:00:00,4214,0,75
Vitichi,8083,42562,2006-01-01 09:00:00,2024-12-23 09:00:00,3133,0,54
Yamparaez,8084,42563,2006-01-01 09:00:00,2025-05-05 09:00:00,5114,0,65.1
Yocalla,8085,42564,2006-01-01 09:00:00,2025-05-23 09:00:00,4692,0,36
Yotala,8086,42565,2006-01-01 09:00:00,2025-05-05 09:00:00,5123,0,68
Yunchara,8087,42566,2006-01-01 09:00:00,2025-02-25 09:00:00,3298,0,70
Yuticancha,8088,42567,2006-01-01 09:00:00,2025-02-25 09:00:00,3164,0,26.4
Zurita,8089,42568,2006-01-01 09:00:00,2025-05-08 09:00:00,3335,0,26.8
Cruce Ventilla,8194,42595,2006-01-01 09:00:00,2025-03-20 09:00:00,3765,0,40
Huacareta,8195,42596,2006-01-01 09:00:00,2024-12-30 09:00:00,4079,0,107.1
Tarija SENAMHI,8196,42597,2006-01-01 09:00:00,2025-05-23 09:00:00,4593,0,110
El Salvador,8197,42598,2006-01-03 09:00:00,2020-03-30 09:00:00,1795,0,76.42
Villamontes,8198,42599,2006-01-03 09:00:00,2025-03-28 09:00:00,4294,0,153.6
Tartagal,8199,42600,2006-01-03 09:00:00,2025-03-28 09:00:00,3716,0,186
Yacuiba,8200,42601,2006-01-03 09:00:00,2025-03-28 09:00:00,4244,0,192.4
Itau,8201,42602,2006-01-03 09:00:00,2025-03-28 09:00:00,4509,0,110
Entre Rios,8202,42603,2006-01-01 09:00:00,2025-05-20 09:00:00,5067,0,114
Algarrobilla,8203,42604,2006-01-03 09:00:00,2025-03-28 09:00:00,3875,0,205
Tarija Aero,8204,42605,2006-01-01 09:00:00,2025-05-23 09:00:00,4593,0,87.2
Padcaya,8205,42606,2006-01-01 09:00:00,2025-05-23 09:00:00,3726,0,40.1
Narvaez,8206,42607,2006-01-01 09:00:00,2025-05-23 09:00:00,5314,0,167
